               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.066333,            0.020135,           0.0091266,             0.73574,             0.57018,             0.58362,             0.23176,            0.085798,            0.015104,            0.009221,           0.0012125,           0.0012125,            0.088112
                  66,            0.072258,            0.019234,           0.0088577,             0.71395,             0.56974,             0.61381,             0.24632,            0.057318,            0.015472,           0.0087123,            0.001228,            0.001228,            0.087928
                  67,            0.060853,            0.025004,           0.0091167,             0.95003,             0.49903,             0.65576,             0.30671,            0.063662,            0.015008,           0.0083475,           0.0012434,           0.0012434,            0.087743
                  68,            0.060776,            0.020672,           0.0073787,              0.8533,                 0.5,             0.61676,             0.22532,            0.073483,            0.014698,            0.008241,           0.0012587,           0.0012587,            0.087559
                  69,             0.06369,            0.021564,           0.0073067,             0.67786,                0.72,             0.69449,             0.25579,            0.057211,            0.014936,           0.0081445,           0.0012738,           0.0012738,            0.087374
                  70,            0.056158,            0.019652,           0.0076933,             0.54342,              0.6691,             0.46181,             0.21301,            0.064845,            0.015054,           0.0078752,           0.0012888,           0.0012888,            0.087189
                  71,            0.063859,            0.021549,           0.0070899,              0.6714,             0.48978,             0.48057,             0.17599,            0.067426,            0.014581,           0.0076102,           0.0013037,           0.0013037,            0.087004
                  72,            0.065802,            0.019434,           0.0063995,             0.29713,                0.72,             0.29823,             0.13801,            0.074809,             0.01394,           0.0073976,           0.0013184,           0.0013184,            0.086818
                  73,            0.075333,            0.021822,            0.006879,             0.28508,             0.76886,             0.38621,             0.11058,            0.075147,            0.014069,           0.0070976,            0.001333,            0.001333,            0.086633
                  74,            0.068163,            0.019108,           0.0058484,             0.50037,                 0.7,             0.55694,             0.25133,            0.070837,             0.01383,           0.0070177,           0.0013474,           0.0013474,            0.086447
                  75,            0.067804,             0.02191,            0.006063,             0.38656,                0.67,             0.47639,             0.09057,            0.067081,            0.014097,           0.0067861,           0.0013618,           0.0013618,            0.086262
                  76,            0.067477,             0.01862,           0.0062093,             0.62021,             0.51542,             0.52686,             0.24742,            0.071673,            0.013938,           0.0066478,           0.0013759,           0.0013759,            0.086076
                  77,            0.065281,            0.019717,           0.0061279,             0.47213,                0.77,             0.57345,             0.23828,            0.067143,            0.013789,           0.0067956,           0.0013899,           0.0013899,             0.08589
