               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.024756,           0.0053763,           0.0050659,             0.98352,                0.95,             0.98605,             0.72747,            0.020435,           0.0035256,           0.0019805,           0.0096299,           0.0096299,           0.0096299
                  54,            0.025014,           0.0052722,           0.0050373,             0.98113,             0.95697,             0.98455,             0.73635,            0.019534,            0.003636,           0.0018245,           0.0096157,           0.0096157,           0.0096157
                  55,            0.024883,           0.0053361,            0.004736,             0.95799,             0.96061,             0.98684,             0.74153,            0.019323,           0.0035519,           0.0019263,           0.0096013,           0.0096013,           0.0096013
                  56,            0.024551,           0.0051877,           0.0049722,             0.97885,             0.94162,             0.98571,             0.71188,            0.020964,           0.0035968,           0.0019724,           0.0095866,           0.0095866,           0.0095866
                  57,            0.025119,           0.0053018,           0.0055456,             0.97186,             0.93519,             0.98342,             0.72119,            0.020393,           0.0037975,           0.0024577,           0.0095717,           0.0095717,           0.0095717
                  58,            0.024801,           0.0053067,            0.004996,             0.97354,             0.96103,             0.98645,             0.72802,            0.020451,           0.0034894,           0.0021575,           0.0095565,           0.0095565,           0.0095565
                  59,             0.02483,           0.0052067,           0.0045269,             0.98743,             0.95219,             0.98678,             0.74226,            0.019263,           0.0035523,           0.0018269,           0.0095411,           0.0095411,           0.0095411
                  60,              0.0246,           0.0052673,           0.0048782,             0.96787,             0.94038,             0.98476,             0.73081,            0.020002,           0.0035537,            0.002421,           0.0095255,           0.0095255,           0.0095255
                  61,            0.025262,           0.0053531,            0.005608,             0.97589,             0.92487,             0.98404,             0.72831,            0.019601,           0.0035091,           0.0025921,           0.0095095,           0.0095095,           0.0095095
                  62,            0.025267,           0.0055268,           0.0057791,             0.94079,               0.941,              0.9807,             0.72862,            0.019867,           0.0037309,           0.0023438,           0.0094934,           0.0094934,           0.0094934
                  63,            0.024581,           0.0053077,           0.0046831,             0.97326,             0.95873,             0.98709,             0.74195,            0.019426,           0.0034444,           0.0016564,           0.0094769,           0.0094769,           0.0094769
                  64,            0.024897,           0.0051167,           0.0051346,             0.97786,             0.93546,             0.98314,              0.7204,             0.02026,           0.0038059,           0.0022893,           0.0094603,           0.0094603,           0.0094603
                  65,            0.024987,           0.0053134,           0.0054865,             0.96653,              0.9576,             0.98591,             0.72689,            0.018981,           0.0035812,           0.0021901,           0.0094434,           0.0094434,           0.0094434
                  66,            0.024923,           0.0052707,           0.0049065,              0.9909,             0.95067,             0.98785,             0.72649,             0.01967,           0.0036086,           0.0022582,           0.0094262,           0.0094262,           0.0094262
                  67,              0.0247,            0.005293,           0.0055012,             0.97815,             0.96521,             0.98647,             0.73208,            0.019774,           0.0035611,           0.0019947,           0.0094088,           0.0094088,           0.0094088
